wiki_link,original_title,story
https://en.wikipedia.org/wiki/Badhaai_Ho,Badhaai Ho,Nakul a 25 year old in relationship with Renne and soon plan to marry .His father Jeetender Kaushik works for railways while mother Priyamvada is housewife whose always taunted by his grandmother.When Nakul finds that his mother is pregnant at the age when Nakul is about to marry he starts to avoid their parents  friends and society.
https://en.wikipedia.org/wiki/Zero_(2018_film),Zero,The story revolves around Bauua Singh (Shah Rukh Khan)  a vertically challenged man  who is full of charm and wit  with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence and indulgence  Bauua was never failed by Meerut or its people. But when he meets two women (Katrina Kaif  Anushka Sharma)  his experiences with these women take him on a journey to complete his 'incompleteness' and broaden his horizons to find a purpose he never knew he had.
https://en.wikipedia.org/wiki/Kaabil,Kaabil,This is the story of a man who lived  laughed and loved just like everyone in this world. Until one day  a terrible tragedy struck. Driven by the fire of vengeance  nothing will stop him. Not even the fact that he has been blind since birth.
https://en.wikipedia.org/wiki/Raees_(film),Raees,The film is set in the early 80's and 90's in Gujarat. The fictitious story of a man who builds an empire in the state of Gujarat  the only state that still follows prohibition. It's a story about his rise and his relationships  which help him become the single most powerful man in the state.
https://en.wikipedia.org/wiki/Airlift_(film),Airlift,It is in this scenario that Ranjit Katyal (played by Akshay Kumar)  a wealthy and powerful Indian businessman  who has always seen himself as a Kuwaiti  rather than an Indian  realizes that he no longer wields any influence on the Iraqis  and that he and his family are in as much danger as anyone else. Ranjit unknowingly becomes the man who all 170 000 Indians look up to for getting them out safely from Kuwait. Airlift is the story of Indians stranded in Kuwait during this traumatic time. A story of how they  with the help of Ranjit Katyal  managed to survive the Iraqi invasion  and against all odds traveled a thousand kilometers across the border into Amman  Jordan. From Amman  170 000 Indians were brought home by the largest and the most successful evacuation ever attempted by any country  in the history of the world. Over 59 days  the Indian government systematically flew over 488 Air India commercial flights into a war zone to evacuate all 170 000 Indians and safely bring them ...
https://en.wikipedia.org/wiki/Kapoor_%26_Sons,Kapoor & Sons,A story revolving around a dysfunctional family of 2 brothers who visit their family and discover that their parents marriage is on the verge of collapse the family is undergoing a financial crunch and much more as the drama unfolds.
https://en.wikipedia.org/wiki/Fan_(film),Fan,Gaurav a boy from Delhi is a die hard fan of Bollywood superstar Aryan Khanna. He comes to Mumbai to wish his idol on his Birthday  but over there things got worst and Gaurav's obsession turned himself a man who wants to create chaos in Aryan Khanna's life.
https://en.wikipedia.org/wiki/Udta_Punjab,Udta Punjab,What on earth can a rock star  a migrant laborer  a doctor and a cop possibly have in common? Simple  Punjab! 4 lives  1 connection - 'Udta Punjab' takes you on a trip like never before. Shahid Kapoor  Kareena Kapoor  Alia Bhatt and Diljit Dosanjh play characters from different walks of life  fighting the menace of drugs in their own way. The film journeys into the artificial highs and the real lows that they face while treading the paths fraught with mortal dangers. But above all  Udta Punjab is about the famed Punjabi spirit  that despite being fully down  has the audacity of looking you in the eye and saying - Drugs di maa di!
https://en.wikipedia.org/wiki/Sultan_(2016_film),Sultan,Sultan is a story of Sultan Ali Khan - a local wrestling champion with the world at his feet as he dreams of representing India at the Olympics. It's a story of Aarfa - a feisty young girl from the same small town as Sultan with her own set of dreams. When the 2 local wrestling legends lock horns  romance blossoms and their dreams and aspirations become intertwined and aligned. However  the path to glory is a rocky one and one must fall several times before one stands victorious - More often than not  this journey can take a lifetime. Sultan is a classic underdog tale about a wrestler's journey  looking for a comeback by defeating all odds staked up against him. But when he has nothing to lose and everything to gain in this fight for his life match... Sultan must literally fight for his life. Sultan believes he's got what it takes... but this time  it's going to take everything he's got.
https://en.wikipedia.org/wiki/Rustom_(film),Rustom,Naval officer Rustom Pavri returns from his posting and finds his wife Cynthia is away from home since last two days his marriages is on the rocks when he finds love letters in cupboard which indicates that Cynthia has found love in one of his friend Vikram Makhija an arrogant business tycoon  Rustom then issues a pistol from Naval Ship's Armory and shoots Vikram three times in his chest living him dead and surrender himself to senior inspector Vincent Lobo.
https://en.wikipedia.org/wiki/Pink_(2016_film),Pink,Deepak is a lawyer suffering from bipolar disorder who experiences frequent mood swings. One night  Rajveer and his friends get drunk and try to molest Miss Arora and her two roommates leading to an accident. The film revolves around how Deepak fights the girls' case against these influential boys.
https://en.wikipedia.org/wiki/M.S._Dhoni:_The_Untold_Story,M.S. Dhoni: The Untold Story,Mahendra Singh Dhoni is a goalkeeper in school football team.Bannerjee a school cricket coach asks him to join his cricket team and practice daily with him for two hours time passes and he becomes a big state level cricketer but for a long time his luck doesn't favor him to become a member of Indian Cricket team.Dhoni takes up a job in Indian Railways as a ticket checker and plays cricket for the railways after long wait of 4 years he gets selected in Indian Cricket team and turns to be one of the best cricketing captains in history of Indian Cricket.
https://en.wikipedia.org/wiki/Dear_Zindagi,Dear Zindagi,This is the story of Kaira  a budding cinematographer in search of perfect life. A chance encounter with Jug  an unconventional thinker  helps her gain new perspective about life. She discovers that happiness is all about finding comfort in life's imperfections.
https://en.wikipedia.org/wiki/Dangal_(film),Dangal,Biopic of Mahavir Singh Phogat  who taught wrestling to his daughters Babita Kumari and Geeta Phogat. Geeta Phogat was India's first female wrestler to win at the 2010 Commonwealth Games  where she won the gold medal (55 kg) while her sister Babita Kumari won the silver (51 kg).
https://en.wikipedia.org/wiki/Tanu_Weds_Manu:_Returns,Tanu Weds Manu Returns,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?
https://en.wikipedia.org/wiki/Tanu_Weds_Manu_Returns,Tanu Weds Manu Returns,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?
https://en.wikipedia.org/wiki/Dilwale_(2015_film),Dilwale,Raj is a Mafia member. One day he meet a girl (Meera) while chasing by his rival gang and falls in love with her. Later he finds out that this girl is the daughter of the leader of his rival gang. Yet their love story continues until he was shot by his girlfriend upon a deep misunderstanding. After that incident these two lovers lives separate until their siblings fallen in love. With this new love story their paths intertwines again.
https://en.wikipedia.org/wiki/Bajrangi_Bhaijaan,Bajrangi Bhaijaan,A little mute girl from a Pakistani village gets lost on her return back from a trip to India. In Kurukshetra  she meets Pawan - an ardent devotee of Lord Hanuman - who is in the midst of a challenge posed by his lover's father. In trying to discover the girl's parents  he develops an unshakable bond with her. He tries to get into Pakistan through a path righteous to his conscience and later  accompanied with a smart Pakistani news reporter - a story that captures the imagination of the public in both countries.
https://en.wikipedia.org/wiki/Bajirao_Mastani,Bajirao Mastani,"Bajirao 1  who fought over 41 major battles and many others  was reputed never to have lost a single one of them. Bajirao is described as ""RANMARD"" a man made of and for the battlefield. Bajirao said to his brother ""Remember that night has nothing to do with sleep. It was created by God  to raid territory held by your enemy. The night is your shield  your screen against the cannons and swords of vastly superior enemy forces. "" A born cavalry leader Bajirao was unequaled for the daring and originality of his genius. Mastani  the fabled warrior princess was the daughter of Raja Chattrasal and his Persian wife Roohani Begum. An expert dancer  singer and warrior  Mastani is sent to battle at the head of the Bundelkhand army. A chance meeting on a war field where they fight on the same side  puts Bajirao and Mastani on a course of passionate love- that is unstoppable by either of their families  by war or by death itself."
https://en.wikipedia.org/wiki/Baby_(2015_Hindi_film),Baby,The country is perpetually under threat from terrorist powers and the common man walks unaware of the threats and the attacks that our Government controls and prevents. While the common Indian fights for everyday issues  there are deeper and bigger threats to him and his family that he will never know exist because it is the men and women in uniform that safeguard them. The men and women who put country before self  the men and women who define our history because they give a damn! Ajay (played by Akshay Kumar) is one such officer who is part of an elite team chosen from amongst the best in the Forces to form a covert Counter Intelligence Unit. In the course of foiling one terrorist attack bid  Ajay discovers a major threat to our nation - a plan to cause damage and strike fear at the heart of our very existence. The plot is masterminded by a maniacal leader whose organization has its tentacles spread across the world. As days progress  the unit goes through escalating challenges with...
https://en.wikipedia.org/wiki/Gabbar_Is_Back,Gabbar is Back,Gabbar Singh Rajput (Akshay Kumar) creates his own vigilante military network called the Anti-Corruption Force (ACF) that eliminates the most corrupt individuals  from all walks of life  in a systematic manner. As pressure builds on Police and Government to track down the man who masterminds these killings  Balbir Singh (Sonu Sood) is specially summoned to head the task. He is aided by Suryam (Prakash Raj) who  though being just a constable in the mammoth Police force  is compelled by his instincts to see through the underlying design.
https://en.wikipedia.org/wiki/Gabbar_is_Back,Gabbar is Back,Gabbar Singh Rajput (Akshay Kumar) creates his own vigilante military network called the Anti-Corruption Force (ACF) that eliminates the most corrupt individuals  from all walks of life  in a systematic manner. As pressure builds on Police and Government to track down the man who masterminds these killings  Balbir Singh (Sonu Sood) is specially summoned to head the task. He is aided by Suryam (Prakash Raj) who  though being just a constable in the mammoth Police force  is compelled by his instincts to see through the underlying design.
https://en.wikipedia.org/wiki/Badlapur_(film),Badlapur,A young man (Raghu) wants revenge from the people who killed his wife and son in a bank robbery.There are two suspects in this case  one escapes with the money and the other gets caught by the cops and is sentenced 20 years in jail. Fifteen years later he is suffering from cancer and he has only a year to live  so he requests Raghu to forgive his rest of the sentenced and let him get out from the jail. Raghu accepts his apology only on one condition that he names his partner. So after 15 years will Raghu be able to find the other suspect who destroyed his life? Will he punish him and take his 15 years old revenge?
https://en.wikipedia.org/wiki/Piku,Piku,A quirky comedy about the relationship between a daughter and her aging father  whose eccentricities drive everyone crazy.
https://en.wikipedia.org/wiki/Drishyam(2015),Drishyam,Vijay Salgaonkar runs a cable TV network in a remote and hilly village of Goa. He lives a happy life with his wife Nandini and two daughters. A 4th grade dropout & an orphan  Vijay has worked his way towards success with his sheer hard-work & street smartness in order to provide for his family who mean the world to him. A man of few means & needs; Vijay believes life is to be lived simplistically - his wife  while she loves him devoutly  wants Vijay's thrifty & miserly behavior to end and wants the world for her family. If there's one thing that Vijay cannot live without  it is his passion for watching films. Such is his 'filmy' obsession that he doesn't mind staying up all night at his office binging on TV movies! In a bizarre turn of events; a teenage boy goes missing; he is the son of a headstrong & no-nonsense cop; IG Meera Deshmukh and the Salgaonkar family is the prime suspect! Will a humble & middle class man  be able to protect his family from oppression of the powerful? How ...
https://en.wikipedia.org/wiki/Talvar_(film),Talvar,The story revolves around the mysterious murder cases of a 14-year girl  Shruti and the domestic help  Khempal who worked at her place. The film is based on the real life Noida Double Murder Case of 2008  where the parents were said to be the prime suspects of the murders. The film showcases three perspectives to the case which emerge as the investigation moves forward.
https://en.wikipedia.org/wiki/Gunday,Gunday,Based in Calcutta during its most unsettled times in the 1970s  the film deals with the inseparable life of Bikram and Bala. The story of 2 boys  boys who became refugees. Refugees who became gun couriers. Gun couriers who became coal bandits  coal bandits who became Calcutta's most loved  most celebrated  most reckless  most fearless  Most Powerful! A story of two happy-go-lucky renegades who came to be known as... GUNDAY!
https://en.wikipedia.org/wiki/Highway_(2014_Hindi_film),Highway,A city girl - young  full of life - is on the highway at night with her fiancé. Suddenly  her life is swung away from the brocade and jewelry of marriage to the harsh brutality of abduction. Her life will never be the same again. The gang is in a panic; the girl is a big industrialist's daughter  his links in the corridors of power make ransom out of the question. But for the leader of this group sending her back is not an option. As the days pass by  the scenery changes  the girl feels that she has changed as well. Gradually  a strange bond begins to develop between the victim and the oppressor. It is in this captivity that she  for the first time  feels free.
https://en.wikipedia.org/wiki/Queen_(2014_film),Queen,Queen is a movie about growing up. Rani (Kangana Ranaut) is a Delhi girl from a conservative family who is ditched by her fiancé just before her wedding. Shocked by this  she decides to set out on the planned honeymoon alone. As she travels the world and meets new people  she gains new experiences and discovers her own identity.
https://en.wikipedia.org/wiki/2_States_(2014_film),2 States,A story about a romantic journey of a culturally opposite couple - Krish Malhotra and Ananya Swaminathan. They meet at the IIM-Ahmedabad College and during the program they fall in love. Complications arise after the program comes to an end and they decide to get married. Krish and Ananya belong to two different states of India. Krish  a North Indian Punjabi boy from Delhi  and Ananya  a Tamilian Brahmin from Chennai. They take a conscious decision; they won't get married until their parents agree. Everything goes downhill when the parents meet. There is a cultural clash and the parents oppose the wedding. To convert their love story into a love marriage  the couple faces a tough battle in front of them. For it is easy to fight and rebel  but much harder to convince. Will Krish and Ananya's love for each other sustain the battles? Will they manage to convince their parents and make it to their wedding?
https://en.wikipedia.org/wiki/Holiday_(2014_film),Holiday,Virat (Akshay Kumar) is among a battalion of military officers that comes to Mumbai on vacation. Virat is also a secret Defence Intelligence Agent who cannot lie low  much to the irritation of his friend and sub inspector. During a bus ride  an attempt to frisk passengers for a lost wallet leads Virat to something much bigger. Within minutes  the bus is blown into pieces and he helps cops nab the carrier of the bomb  who escapes from the hospital only to be caught by Virat again. Using tact  Virat follows one clue at a time hoping to track down the terrorist on whose orders the sleeper cell terrorists plan to cause mayhem in Mumbai.
https://en.wikipedia.org/wiki/Kick_(2014_Film),Kick,On a train journey in Warsaw  psychiatrist Shaina meets Himanshu  who is a police officer from India to discuss their prospective marriage. Both are reluctant to enter into an arranged union but become friends and strike a deep conversation where Shaina reveals her previous relationship with the eccentric Devi  a man who lived only for his 'Kick' aka an adrenaline rush . Despite his idiosyncrasies they embark on a whirlwind romance  until one day he breaks up with her for a new 'Kick' and walks away never to return. Himanshu in turn regales her with his glorious escapades as an officer but mentions that he has finally met his match  an intelligent thief. What they are both unaware of is that their stories have one thing in common  Devi. He returns to their lives under the pretext of having lost his memory. Behind it all  is a deeper mystery and an uncompromising mission for which Devi is ready to lose his life.
https://en.wikipedia.org/wiki/Haider_(film),Haider,Vishal Bhardwaj's adaptation of William Shakespeare's 'Hamlet'  Haider - a young man returns home to Kashmir on receiving news of his father's disappearance. Not only does he learn that security forces have detained his father for harboring militants  but that his mother is in a relationship with his very own uncle. Intense drama follows between mother and son as both struggle to come to terms with news of his father's death. Soon Haider learns that his uncle is responsible for the gruesome murder  what follows is his journey to avenge his father's death.
https://en.wikipedia.org/wiki/Bang_Bang!,Bang Bang,A chance encounter of the unassuming bank receptionist Harleen Sahni with the charming yet mysterious Rajveer Nanda  results in an on-rush of ditched planes  car chases  shoot-outs  bombing raids and general global mayhem. But as the transcontinental chase ensues with Rajveer convincing Harleen that he's the good guy  can she really trust him  and will trust matter when the bullets start flying?
https://en.wikipedia.org/wiki/Happy_New_Year_(2014_film),Happy New Year,A team of losers attempt to pull off mass revenge against a past traitor. They are required to win a dance competition as part of the plan  they get entangled with the presence of a somewhat unintelligent local dance performer who cannot learn the backstory of the betrayal.
https://en.wikipedia.org/wiki/PK_(film),PK,P. K. is a comedy of ideas about a stranger in the city  who asks questions that no one has asked before. They are innocent  child-like questions  but they bring about catastrophic answers. People who are set in their ways for generations  are forced to reappraise their world when they see it from PK's innocent eyes. In the process PK makes loyal friends and powerful foes. Mends broken lives and angers the establishment. P. K.'s childlike curiosity transforms into a spiritual odyssey for him and millions of others. The film is an ambitious and uniquely original exploration of complex philosophies. It is also a simple and humane tale of love  laughter and letting-go. Finally  it is a moving saga about a friendship between strangers from worlds apart.
https://en.wikipedia.org/wiki/Special_26,Special Chabbis,Based on real life incidents that occurred in India in 1987-88  the storyline revolves around a group of con artists who pulled off many clever robberies during 1980s  and robbed famous businessmen and politicians by pretending to be the CBI or Income tax officers and conducting raids. On the pretext of conducting raids they would take away all the black money hoarded by them.
https://en.wikipedia.org/wiki/Kai_Po_Che!,Kai po che!,The story goes around the three friends who start a business  also providing coaching classes and tuition. Omi asks for help with his uncle  who is also a political leader  to start this business. Govind provides tuition classes to some children and Ishaan gives cricket coaching. They come to meet a boy  Ali who is gifted with hyper-reflex. Ishaan then starts special coaching for the boy so that the country gets a new star player. But unexpected things happen suddenly and the story takes a turn.
https://en.wikipedia.org/wiki/Vishwaroop_(Hindi_film),Vishwaroopam,Vishwanathan  a Kathak dance teacher in New York  is in a rather happy marriage with Nirupama who is a nuclear oncologist. She hires a detective to keep a watch on her husband  who apparently ends up in a wrong place that reveals Vishwanathan's true identity.
https://en.wikipedia.org/wiki/Aashiqui_2,Aashiqui 2,Rahul is a singer  who loses his career due to his drinking habits. He meets Arohi in a bar in Goa  where she works to earn a living. Impressed by her singing  he promises her to take her to Mumbai and make her a star  where they fall in love with each other. Aashiqui 2 is a musical love story of these lovers who goes through love and hate  fame and failure in their lives. However will they stay together accepting their success  or will they breakup due to their ego?
https://en.wikipedia.org/wiki/Yeh_Jawaani_Hai_Deewani,Yeh Jawaani Hai Deewani,Yeh Jawaani Hai Deewani is the story of the relationship between two characters  Bunny (Ranbir Kapoor) & Naina (Deepika Padukone)  at two separate but defining times in their lives... first  when they are just out of college and standing on the crossroads of multiple decisions that will shape who and what they become... and then later on  in their late-twenties when they meet again  holding on to certain fulfilled and certain unfulfilled dreams  at a crossroads of another nature this time... how these two characters affect  change  befriend and eventually fall in love with each other is the journey the film aspires to take us on..
https://en.wikipedia.org/wiki/Raanjhanaa,Raanjhanaa,"The pundit's son Kundan (Dhanush) has fallen for the girl at first sight. That they're both kids makes us dismiss it as a meaningless crush. But a few years later  the boy is still in love with the girl  Zoya (Sonam Kapoor). When she's in school  he follows her around holding her hand and getting slapped in the process. Finally  she relents because of his ""consistency"". The film shifts cities when Zoya gets into JNU (Jawaharlal Nehru University)  and through her  we are introduced to the idealistic and political culture of the place. She discovers a long-lost strength as she confronts and then falls for student leader Akram (Abhay Deol). The film takes a turn when Zoya returns to her hometown after eight long years only to find some things changed  and others surprisingly the same."
https://en.wikipedia.org/wiki/Bhaag_Milkha_Bhaag,Bhaag Milkha Bhaag,"The true story of the ""Flying Sikh"" - world champion runner and Olympian Milkha Singh -- who overcame the massacre of his family  civil war during the India-Pakistan partition  and homelessness to become one of India's most iconic athletes."
https://en.wikipedia.org/wiki/Madras_Cafe,Madras Cafe,An Indian Intelligence agent (portrayed by John Abraham)[9] journeys into a war torn coastal island  to break a resolute rebel group. He deftly maneuvers his resources to make significant breakthroughs  amidst a scenario where the enemy has no face and the only counsel is 'Don't get caught.' At various junctions  he meets a charismatic and passionate journalist (portrayed by Nargis Fakhri) who is following her will to reflect the truth behind the civil war. The story unfolds as their quest for the truth reveals a deeper conspiracy  by a faceless enemy  united to seize a common nemesis - India.
https://en.wikipedia.org/wiki/Chennai_Express,Chennai Express,Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route  he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India  an unanticipated drive awaits them.
https://en.wikipedia.org/wiki/The_Lunchbox,Dabba,The film  set in Mumbai  revolves around a mistaken delivery by the Dabbawalas (lunchbox service) of Mumbai  which leads to a relationship between Saajan  a lonely widower close to retirement  and Ila  an unhappy housewife  as they start exchanging notes through the daily lunchbox.
https://en.wikipedia.org/wiki/Dhoom_3,Dhoom:3,The favourite Indian action franchise is back. This time Jai Dixit (Abhishek Bachchan) and Ali (Uday Chopra) return to match their wits with the enigmatic clown thief  Sahir (Aamir Khan)  who has the city of Chicago in his thrall. In this battle of revenge and dignity  the lines blur and the conventional definition of good and bad don't apply. Watch a spectacle that will thrill you and move you.
https://en.wikipedia.org/wiki/Agneepath_(2012_film),Agneepath,Agneepath is a story of revenge of Vijay Chauhan against an evil and sadistic Kaancha  who hangs Vijay's father to death. Vijay grows up with a single aim of avenging his father's death. The story revolves around Vijay Chauhan  his relationships with his family and above all  his Revenge.
https://en.wikipedia.org/wiki/Paan_Singh_Tomar_(film),Paan Singh Tomar,Paan Singh Tomar is a Hindi-language film  based on the true story of a runner employed by the Army and has won Gold medal at Indian National Games but forced to become notorious baaghi. It is directed by Tigmanshu Dhulia.
https://en.wikipedia.org/wiki/Kahaani,Kahaani,Kolkata is abuzz with the preparations for the annual Durga Puja festival  as seven months pregnant Vidya Bagchi steps off the airplane from London. Her first stop is the local police station to file a missing person report. Weeks ago  her husband Arnab arrived in India for a job assignment. The first two weeks  they talked daily on the phone  and then without explanation  his calls stopped. Everywhere Vidya turns  no one can remember Arnab. There is no trace of him at the guest house or his workplace. But Vidya will not give up her search. Somewhere in Kolkata she will discover the dangerous truth.
https://en.wikipedia.org/wiki/Vicky_Donor,Vicky Donor,Dr. Baldev Chaddha (Anu Kapoor)  a well qualified fertility expert  runs a fertility clinic and a sperm bank in Dariyaganj  New Delhi  that guarantees a high quality and specialized sperm for the purpose. Unfortunately he has more failed cases to his credit than successes. A healthy  high performing donor is the need of the hour. Vicky Arora (Ayushmann Khurrana)  a young  good-looking  Punjabi boy from Lajpat Nagar  is the only son and of no financial support to Dolly  a widow  who runs a small beauty parlor from home. As luck would have it  a small brawl in the colony brings Dr Chaddha and Vicky  face to face  where Chaddha  concludes that Vicky could be THAT donor he has been looking for. From here on  Chaddha's days and nights are spent in convincing Vicky to become a donor till he finally gives in. Vicky finds his love interest in Ashima Roy (Yami Gautam)  a pretty Bengali girl  who works in a Bank. But soon there hunky dory world comes crashing down because of Vicky's past as a ...
https://en.wikipedia.org/wiki/Gangs_of_Wasseypur,Gangs of Wasseypur,Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast  Shahid becomes a worker at Ramadhir Singh's colliery  only to spur a revenge battle that passes on to generations. At the turn of the decade  Shahid's son  the philandering Sardar Khan vows to get his father's honor back  becoming the most feared man of Wasseypur.
https://en.wikipedia.org/wiki/Gangs_of_Wasseypur_%E2%80%93_Part_2,Gangs of Wasseypur,Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast  Shahid becomes a worker at Ramadhir Singh's colliery  only to spur a revenge battle that passes on to generations. At the turn of the decade  Shahid's son  the philandering Sardar Khan vows to get his father's honor back  becoming the most feared man of Wasseypur.
https://en.wikipedia.org/wiki/Ek_Tha_Tiger,Ek Tha Tiger,In the dark world of intelligence and espionage  all information is guarded in the name of national security. But some stories escape the fiercely guarded classified files  stories that become legends. This is one such story  a story that shook the very foundation of this dark world. In a government employees' neighbourhood in New Delhi  there lived a rugged  handsome and mysterious bachelor about whom his neighbours knew nothing. That was because he was India's top spy  an officer with the Research and Analysis Wing (RAW)  India's external intelligence agency. This man was known even in official corridors as TIGER (Salman Khan). Tiger is sent on a relatively easy and safe mission to Dublin  Ireland to observe a scientist of Indian origin who is suspected of sharing his research findings with the Pakistan defence establishment. Tiger attempts to meet the scientist but is not successful. He tries to befriend the scientist's part time home caretaker  Zoya (Katrina Kaif). As Tiger begins...
https://en.wikipedia.org/wiki/Barfi!,Barfi!,Set in the 1970s in a pretty corner of India  Barfi. is the story of three young people who learn that love can neither be defined nor contained by society's norms of normal and abnormal. Barfi  a hearing and speech impaired boy falls in love with Shruti. In spite of her deep affection for Barfii  Shruti gives into societal and parental pressure to marry a 'normal' man and lead a 'normal' life. Many years later their paths cross once again when Barfi  now in love with Jhilmil  is on the run from the police. Barfi is desperately seeking Jhilmil  who has gone missing. Shruti's realization that Jhilmil is autistic makes her recognize that true love is really blind. Caught in a cat and mouse game  in the search for the girl Barfi loves  Shruti realizes that she is still in love with him.
https://en.wikipedia.org/wiki/Oh_My_God_(2012_film),OMG: Oh My God!,Kanji Lalji Mehta  though an atheist  owns a small shop selling religious goods  concocting cock-and-bull stories to extract higher fees from his customers for his wares. When  in openly defying God  an earthquake destroys his (and only his) only source of income  with the insurance company refusing to pay up on the basis of it being an 'act of God'  Kanjibhai takes God to the court. With many similarly unfortunate people pinning their hopes to him  Kanji's lack of courtroom experience may leave him unable to prove his point - that is  until approached by a man introducing himself as Krishna Vasudeva Yadav. Krishna helps Kanji win his case  his family and helps him find his faith in God  along the way showing how priests can turn religion into a business and that God can be found everywhere  particularly in a house of worship.
